method,dataset_id,failure_fraction,n_rows
GLM-PCA,heart_cell_atlas_subsampled,0.25,4
GLM-PCA,paul15,0.75,4
GLM-PCA,pbmc3k,0.3333333333333333,3
PCA,heart_cell_atlas_subsampled,0.25,4
PCA,paul15,0.75,4
PCA,pbmc3k,0.3333333333333333,3
PHATE,heart_cell_atlas_subsampled,0.25,4
PHATE,paul15,0.75,4
PHATE,pbmc3k,0.3333333333333333,3
PaCMAP,heart_cell_atlas_subsampled,0.5,4
PaCMAP,paul15,0.75,4
PaCMAP,pbmc3k,0.3333333333333333,3
SAUCIE,heart_cell_atlas_subsampled,0.25,4
SAUCIE,paul15,0.75,4
SAUCIE,pbmc3k,0.3333333333333333,3
UMAP,heart_cell_atlas_subsampled,0.75,4
UMAP,paul15,0.75,4
UMAP,pbmc3k,0.3333333333333333,3
scScope,heart_cell_atlas_subsampled,0.5,4
scScope,paul15,0.5,4
scScope,pbmc3k,0.6666666666666666,3
t-SNE,heart_cell_atlas_subsampled,0.25,4
t-SNE,paul15,0.5,4
t-SNE,pbmc3k,0.3333333333333333,3
